,Date,Open,High,Low,Close,Volume,Close_LN,Close_LN_diff,Close_LN_diff_100,r>=1%_tmp,r>=0%_tmp,r>=-1%_tmp,-1%>r_tmp,r>=1%,r>=0%,r>=-1%,-1%>r
1,1986-09-04,18515.0,18624.0,18514.0,18560.0,,9.828764006340192,0.0029677615199350527,0.29677615199350527,0,1,0,0,1,0,0,0
2,1986-09-05,18572.0,18778.0,18572.0,18775.0,,9.840281476632336,0.011517470292144338,1.1517470292144338,1,0,0,0,0,0,1,0
3,1986-09-06,18777.0,18812.0,18764.0,18764.0,,9.839695419448349,-0.0005860571839875206,-0.05860571839875206,0,0,1,0,0,0,0,1
4,1986-09-08,18765.0,18784.0,18545.0,18552.0,,9.828332878935367,-0.011362540512982022,-1.1362540512982022,0,0,0,1,0,0,1,0
5,1986-09-09,18537.0,18537.0,18433.0,18474.0,,9.824119617152556,-0.004213261782810562,-0.42132617828105623,0,0,1,0,0,1,0,0
6,1986-09-10,18477.0,18636.0,18473.0,18619.0,,9.831937843696052,0.007818226543495399,0.7818226543495399,0,1,0,0,0,0,1,0
7,1986-09-11,18615.0,18668.0,18548.0,18561.0,,9.828817884199099,-0.0031199594969528732,-0.3119959496952873,0,0,1,0,0,0,0,1
8,1986-09-12,18554.0,18554.0,17939.0,18101.0,,9.803722464346553,-0.02509541985254593,-2.509541985254593,0,0,0,1,0,0,0,1
9,1986-09-16,18087.0,18087.0,17459.0,17463.0,,9.767839635939845,-0.035882828406707645,-3.5882828406707645,0,0,0,1,0,0,1,0
10,1986-09-17,17471.0,17620.0,17336.0,17337.0,,9.760598224985888,-0.007241410953957583,-0.7241410953957583,0,0,1,0,0,1,0,0
11,1986-09-18,17327.0,17520.0,17327.0,17478.0,,9.768698226187489,0.008100001201601259,0.8100001201601259,0,1,0,0,0,1,0,0
12,1986-09-19,17493.0,17612.0,17493.0,17523.0,,9.771269582708419,0.0025713565209297684,0.25713565209297684,0,1,0,0,1,0,0,0
13,1986-09-22,17527.0,17707.0,17527.0,17706.0,,9.781658844170995,0.010389261462576016,1.0389261462576016,1,0,0,0,1,0,0,0
14,1986-09-24,17718.0,18018.0,17718.0,17956.0,,9.795679599901822,0.014020755730827617,1.4020755730827617,1,0,0,0,0,1,0,0
15,1986-09-25,17979.0,18078.0,17904.0,17988.0,,9.797460147890598,0.0017805479887762488,0.17805479887762488,0,1,0,0,0,0,1,0
16,1986-09-26,17979.0,18052.0,17871.0,17961.0,,9.795958019593462,-0.0015021282971368066,-0.15021282971368066,0,0,1,0,1,0,0,0
17,1986-09-27,17967.0,18197.0,17967.0,18181.0,,9.808132371719273,0.012174352125811083,1.2174352125811083,1,0,0,0,0,0,1,0
18,1986-09-29,18185.0,18263.0,18094.0,18106.0,,9.803998654035386,-0.004133717683886928,-0.41337176838869283,0,0,1,0,0,0,0,1
19,1986-09-30,17894.0,17894.0,17817.0,17853.0,,9.789926840312962,-0.014071813722424054,-1.4071813722424054,0,0,0,1,0,0,0,1
20,1986-10-01,17854.0,17974.0,17563.0,17564.0,,9.773606631681607,-0.016320208631354305,-1.6320208631354305,0,0,0,1,0,0,0,1
21,1986-10-02,17564.0,17602.0,17004.0,17019.0,,9.742085645994678,-0.03152098568692985,-3.1520985686929848,0,0,0,1,1,0,0,0
22,1986-10-03,17005.0,17271.0,16820.0,17240.0,,9.754987544217684,0.01290189822300647,1.290189822300647,1,0,0,0,1,0,0,0
